,STation,Borough,,,,,,,,
,138/GRAND CONC,Bronx,,,,,,,,
,149/GRAND CONC,Bronx,,,,,,,,
,161/YANKEE STAD,Bronx,,,,,,,,
,167 ST,Bronx,,,,,,,,
,170 ST,Bronx,,,,,,,,
,174 ST,Bronx,,,,,,,,
,174-175 STS,Bronx,,,,,,,,
,176 ST,Bronx,,,,,,,,
,182-183 STS,Bronx,,,,,,,,
,183 ST,Bronx,,,,,,,,
,219 ST,Bronx,,,,,,,,
,225 ST,Bronx,,,,,,,,
,231 ST,Bronx,,,,,,,,
,233 ST,Bronx,,,,,,,,
,238 ST,Bronx,,      ,,,,,,
,3 AV 138 ST,Bronx,,,,,,,,
,3 AV-149 ST,Bronx,,,,,,,,
,ALLERTON AV,Bronx,,,,,,,,
,BAYCHESTER AV,Bronx,,,,,,,,
,BEDFORD PK BLVD,Bronx,,,,,,,,
,Bedford Park Blvd-Lehman College,Bronx,,,,,,,,
,BRONX PARK EAST,Bronx,,,,,,,,
,BROOK AV,Bronx,,,,,,,,
,BUHRE AV,Bronx,,,,,,,,
,BURKE AV,Bronx,,,,,,,,
,BURNSIDE AV,Bronx,,,,,,,,
,CASTLE HILL AV,Bronx,,,,,,,,
,CYPRESS AV,Bronx,,,,,,,,
,E 143/ST MARYS,Bronx,,,,,,,,
,E 149 ST,Bronx,,,,,,,,
,E 180 ST,Bronx,,,,,,,,
,EASTCHSTER/DYRE,Bronx,,,,,,,,
,ELDER AV,Bronx,,,,,,,,
,FORDHAM RD,Bronx,,,,,,,,
,FREEMAN ST,Bronx,,,,,,,,
,GUN HILL RD,Bronx,,,,,,,,
,HUNTS POINT AV,Bronx,  ,,,,,,,
,INTERVALE AV,Bronx,,,,,,,,
,3 AV-149 ST,Bronx,,,,,,,,
,KINGSBRIDGE RD,Bronx,,,,,,,,
,LONGWOOD AV,Bronx,,,,,,,,
,MIDDLETOWN RD,Bronx,,,,,,,,
,MORRIS PARK,Bronx,,,,,,,,
,MORISN AV/SNDVW,Bronx,,,,,,,,
,MOSHOLU PKWY,Bronx,,,,,,,,
,MT EDEN AV,Bronx,,,,,,,,
,NEREID AV,Bronx,,,,,,,,
,NORWOOD 205 ST,Bronx,,,,,,,,
,PARKCHESTER,Bronx,,,,,,,,
,PELHAM BAY PARK,Bronx,,,,,,,,
,PELHAM PKWY,Bronx,,,,,,,,
,PROSPECT AV,Bronx,,,,,,,,
,SIMPSON ST,Bronx,,,,,,,,
,ST LAWRENCE AV,Bronx,,,,,,,,
,TREMONT AV,Bronx,,,,,,,,
,V.CORTLANDT PK,Bronx,,,,,,,,
,WAKEFIELD/241,Bronx,,,,,,,,
,WEST FARMS SQ,Bronx,,,,,,,,
,WESTCHESTER SQ,Bronx,,,,,,,,
,WHITLOCK AV,Bronx,,,,,,,,
,WOODLAWN,Bronx,,,,,,,,
,ZEREGA AV,Bronx,,,,,,,,
,15 ST-PROSPECT,Brooklyn,,,,,,,,
,18 AV,Brooklyn,,,,,,,,
,20 AV,Brooklyn,,,,,,,,
,25 AV,Brooklyn,,,,,,,,
,25 ST,Brooklyn,,,,,,,,
,36 ST,Brooklyn,,,,,,,,
,4 AV-9 ST,Brooklyn,,,,,,,,
,45 ST,Brooklyn,,,,,,,,
,50 ST,Brooklyn,,,,,,,,
,53 ST,Brooklyn,,,,,,,,
,55 ST,Brooklyn,,,,,,,,
,59 ST,Brooklyn,,,,,,,,
,7 AV,Brooklyn,,,,,,,,
,71 ST,Brooklyn,,,,,,,,
,77 ST,Brooklyn,,,,,,,,
,79 ST,Brooklyn,,,,,,,,
,8 AV,Brooklyn,,,,,,,,
,86 ST,Brooklyn,,,,,,,,
,9 AV,Brooklyn,,,,,,,,
,ALABAMA AV,Brooklyn,,,,,,,,
,ATLANTIC AV,Brooklyn,,,,,,,,
,ATL AV-BARCLAY,Brooklyn,,,,,,,,
,AVENUE H,Brooklyn,,,,,,,,
,AVENUE I,Brooklyn,,,,,,,,
,AVENUE J,Brooklyn,,,,,,,,
,AVENUE M,Brooklyn,,,,,,,,
,AVENUE N,Brooklyn,,,,,,,,
,AVENUE P,Brooklyn,,,,,,,,
,AVENUE U,Brooklyn,,,,,,,,
,AVENUE X,Brooklyn,,,,,,,,
,BAY 50 ST,Brooklyn,,,,,,,,
,BAY PKWY,Brooklyn,,,,,,,,
,BAY RIDGE AV,Brooklyn,,,,,,,,
,BAY RIDGE-95 ST,Brooklyn,,,,,,,,
,BEDFORD AV,Brooklyn,,,,,,,,
,BEDFORD-NOSTRAN,Brooklyn,,,,,,,,
,BERGEN ST,Brooklyn,,,,,,,,
,BEVERLEY ROAD,Brooklyn,,,,,,,,
,BEVERLY RD,Brooklyn,,,,,,,,
,BRIGHTON BEACH,Brooklyn,,,,,,,,
,BROADWAY,Brooklyn,,,,,,,,
,BROADWAY JCT,Brooklyn,,,,,,,,
,BUSHWICK AV,Brooklyn,,,,,,,,
,CANARSIE-ROCKAW,Brooklyn,,,,,,,,
,CARROLL ST,Brooklyn,,,,,,,,
,CENTRAL AV,Brooklyn,,,,,,,,
,CHAUNCEY ST,Brooklyn,,,,,,,,
,CHURCH AV,Brooklyn,,,,,,,,
,CLARK ST,Brooklyn,,,,,,,,
,CLASSON AV,Brooklyn,,,,,,,,
,CLEVELAND ST,Brooklyn,,,,,,,,
,CLINTON-WASH AV,Brooklyn,,,,,,,,
,CONEY IS-STILLW,Brooklyn,,,,,,,,
,CORTELYOU RD,Brooklyn,,,,,,,,
,BOROUGH HALL,Brooklyn,,,,,,,,
,CRESCENT ST,Brooklyn,,,,,,,,
,CROWN HTS-UTICA,Brooklyn,,,,,,,,
,CYPRESS HILLS,Brooklyn,,,,,,,,
,DEKALB AV,Brooklyn,,,,,,,,
,DITMAS AV,Brooklyn,,,,,,,,
,EAST 105 ST,Brooklyn,,,,,,,,
,EASTN PKWY-MUSM,Brooklyn,,,,,,,,
,EUCLID AV,Brooklyn,,,,,,,,
,FLATBUSH AV-B.C,Brooklyn,,,,,,,,
,FLUSHING AV,Brooklyn,,,,,,,,
,FT HAMILTON PKY,Brooklyn,,,,,,,,
,BOTANIC GARDEN,Brooklyn,,,,,,,,
,FRANKLIN AV,Brooklyn,,,,,,,,
,FULTON ST,Brooklyn,,,,,,,,
,GATES AV,Brooklyn,,,,,,,,
,GRAHAM AV,Brooklyn,,,,,,,,
,GRAND ARMY PLAZ,Brooklyn,,,,,,,,
,GRAND ST,Brooklyn,,,,,,,,
,GRANT AV,Brooklyn,,,,,,,,
,GREENPOINT AV,Brooklyn,,,,,,,,
,HALSEY ST,Brooklyn,,,,,,,,
,HEWES ST,Brooklyn,,,,,,,,
,HIGH ST,Brooklyn,,,,,,,,
,HOYT ST,Brooklyn,,,,,,,,
,HOYT-SCHER,Brooklyn,,,,,,,,
,JAY ST-METROTEC,Brooklyn,,,,,,,,
,JEFFERSON ST,Brooklyn,,,,,,,,
,JUNIUS ST,Brooklyn,,,,,,,,
,KINGS HWY,Brooklyn,,,,,,,,
,KINGSTON AV,Brooklyn,,,,,,,,
,KINGSTON-THROOP,Brooklyn,,,,,,,,
,KNICKERBOCKER,Brooklyn,,,,,,,,
,KOSCIUSZKO ST,Brooklyn,,,,,,,,
,LAFAYETTE AV,Brooklyn,,,,,,,,
,LIBERTY AV,Brooklyn,,,,,,,,
,LIVONIA AV,Brooklyn,,,,,,,,
,LORIMER ST,Brooklyn,,,,,,,,
,MARCY AV,Brooklyn,,,,,,,,
,MONTROSE AV,Brooklyn,,,,,,,,
,MORGAN AV,Brooklyn,,,,,,,,
,MYRTLE AV,Brooklyn,,,,,,,,
,MYRTLE-WILLOUGH,Brooklyn,,,,,,,,
,MYRTLE-WYCKOFF,Brooklyn,,,,,,,,
,NASSAU AV,Brooklyn,,,,,,,,
,NECK RD,Brooklyn,,,,,,,,
,NEPTUNE AV,Brooklyn,,,,,,,,
,NEVINS ST,Brooklyn,,,,,,,,
,NEW LOTS,Brooklyn,,,,,,,,
